Countr,ITA,Unnamed: 0,GER,Unnamed: 1,USA,Unnamed: 2,,,,,,
Rank,3,,2,,1,,,,,,,,
Dist.,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke
[m],[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm)
50,5.6,44.0,5.7,44.0,5.5,44.0,-,-,-,-,-,-
100,5.8,45.0,6.1,46.0,5.8,44.0,-,-,-,-,-,-
150,5.6,43.0,5.9,45.0,5.8,44.0,-,-,-,-,-,-
200,5.4,41.0,5.9,44.0,5.7,43.0,-,-,-,-,-,-
250,5.2,39.0,5.8,42.0,5.6,41.0,-,-,-,-,-,-
300,5.2,38.0,5.6,41.0,5.4,40.0,-,-,-,-,-,-
350,5.2,38.0,5.5,40.0,5.4,38.0,-,-,-,-,-,-
400,5.1,38.0,5.4,39.0,5.3,38.0,-,-,-,-,-,-
450,5.0,37.0,5.3,39.0,5.3,38.0,-,-,-,-,-,-
500,4.9,37.0,5.3,39.0,5.3,38.0,-,-,-,-,-,-
550,5.0,37.0,5.3,39.0,5.3,38.0,-,-,-,-,-,-
600,5.1,37.0,5.2,38.0,5.3,38.0,-,-,-,-,-,-
650,5.1,37.0,5.2,38.0,5.2,38.0,-,-,-,-,-,-
700,5.1,37.0,5.2,38.0,5.2,38.0,-,-,-,-,-,-
750,5.1,37.0,5.1,38.0,5.2,38.0,-,-,-,-,-,-
800,5.0,37.0,5.2,38.0,5.2,38.0,-,-,-,-,-,-
850,5.0,37.0,5.2,38.0,5.3,38.0,-,-,-,-,-,-
900,4.9,37.0,5.2,38.0,5.2,38.0,-,-,-,-,-,-
950,4.8,37.0,5.1,38.0,5.2,38.0,-,-,-,-,-,-
1000,4.9,37.0,5.1,38.0,5.1,37.0,-,-,-,-,-,-
1050,4.9,37.0,5.1,38.0,5.1,37.0,-,-,-,-,-,-
1100,5.0,37.0,5.1,38.0,5.2,38.0,-,-,-,-,-,-
1150,5.0,37.0,5.1,38.0,5.2,38.0,-,-,-,-,-,-
1200,4.9,37.0,5.1,38.0,5.2,38.0,-,-,-,-,-,-
1250,4.9,36.0,5.2,38.0,5.2,37.0,-,-,-,-,-,-
1300,4.8,36.0,5.1,38.0,5.2,37.0,-,-,-,-,-,-
1350,4.9,37.0,5.1,38.0,5.2,37.0,-,-,-,-,-,-
1400,5.0,37.0,5.1,38.0,5.2,37.0,-,-,-,-,-,-
1450,5.0,37.0,5.1,38.0,5.2,37.0,-,-,-,-,-,-
1500,5.0,37.0,5.1,38.0,5.2,37.0,-,-,-,-,-,-
1550,5.0,37.0,5.2,38.0,5.2,38.0,-,-,-,-,-,-
1600,5.1,37.0,5.3,39.0,5.3,38.0,-,-,-,-,-,-
1650,5.1,37.0,5.4,40.0,5.4,38.0,-,-,-,-,-,-
1700,5.1,37.0,5.4,40.0,5.4,39.0,-,-,-,-,-,-
1750,5.1,37.0,5.4,41.0,5.5,40.0,-,-,-,-,-,-
1800,5.0,37.0,5.4,41.0,5.5,41.0,-,-,-,-,-,-
1850,5.0,37.0,5.4,41.0,5.5,41.0,-,-,-,-,-,-
1900,5.1,37.0,5.4,41.0,5.6,42.0,-,-,-,-,-,-
1950,5.1,37.0,5.3,41.0,5.6,43.0,-,-,-,-,-,-
2000,5.1,37.0,4.0,35.0,5.6,42.0,-,-,-,-,-,-
