Country,JPN,Unnamed: 0,USA,Unnamed: 1,ESP,Unnamed: 2,ARG,Unnamed: 3,DEN,Unnamed: 4,Unnamed: 5,Unnamed: 6
Rank,4,,1,,5,,3,,2,,,
Dist.,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke
[m],[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm)
50,5.1,47.0,5.3,49.0,5.6,51.0,5.4,43.0,5.5,50.0,-,-
100,5.0,43.0,5.3,46.0,5.3,46.0,5.3,39.0,5.3,43.0,-,-
150,5.1,42.0,5.1,43.0,5.2,44.0,5.1,37.0,5.1,40.0,-,-
200,4.9,40.0,5.1,42.0,5.2,44.0,5.0,35.0,5.1,40.0,-,-
250,4.8,38.0,4.9,42.0,5.0,43.0,4.9,36.0,5.0,39.0,-,-
300,4.8,38.0,4.8,40.0,4.9,41.0,4.8,36.0,4.8,38.0,-,-
350,4.7,38.0,4.7,39.0,4.7,40.0,4.7,33.0,4.7,38.0,-,-
400,4.7,37.0,4.7,39.0,4.6,40.0,4.6,34.0,4.7,37.0,-,-
450,4.5,36.0,4.6,37.0,4.6,39.0,4.6,34.0,4.7,37.0,-,-
500,4.7,37.0,4.6,37.0,4.6,39.0,4.7,34.0,4.7,38.0,-,-
550,4.7,36.0,4.8,37.0,4.7,39.0,4.7,33.0,4.8,37.0,-,-
600,4.7,36.0,4.8,37.0,4.8,39.0,4.7,30.0,4.7,36.0,-,-
650,4.7,37.0,4.7,36.0,4.8,39.0,4.7,32.0,4.8,37.0,-,-
700,4.7,36.0,4.6,36.0,4.7,39.0,4.7,32.0,4.8,38.0,-,-
750,4.7,36.0,4.7,36.0,4.6,38.0,4.7,31.0,4.8,37.0,-,-
800,4.6,36.0,4.7,35.0,4.6,38.0,4.7,32.0,4.8,37.0,-,-
850,4.6,35.0,4.6,35.0,4.6,37.0,4.7,31.0,4.8,38.0,-,-
900,4.6,35.0,4.7,36.0,4.5,37.0,4.6,31.0,4.8,38.0,-,-
950,4.6,35.0,4.8,37.0,4.6,37.0,4.7,30.0,4.8,37.0,-,-
1000,4.6,35.0,4.7,37.0,4.4,36.0,3.6,35.0,4.8,37.0,-,-
1050,4.6,35.0,4.7,37.0,4.4,36.0,4.9,32.0,4.8,37.0,-,-
1100,4.6,35.0,4.7,36.0,4.4,35.0,4.7,32.0,4.8,37.0,-,-
1150,4.7,35.0,4.8,37.0,4.4,35.0,4.6,30.0,4.8,37.0,-,-
1200,4.5,35.0,4.7,36.0,4.3,35.0,4.7,31.0,4.8,38.0,-,-
1250,4.5,35.0,4.6,36.0,4.1,34.0,4.6,32.0,4.8,37.0,-,-
1300,4.4,34.0,4.6,36.0,4.2,34.0,4.5,32.0,4.7,38.0,-,-
1350,4.5,33.0,4.6,36.0,4.1,33.0,4.4,32.0,4.6,37.0,-,-
1400,4.3,32.0,4.6,36.0,3.8,32.0,4.4,32.0,4.6,37.0,-,-
1450,4.3,32.0,4.6,36.0,3.8,31.0,4.4,31.0,4.7,37.0,-,-
1500,4.2,32.0,4.6,37.0,3.7,31.0,4.5,32.0,4.6,36.0,-,-
1550,4.2,32.0,4.6,37.0,3.8,31.0,4.3,32.0,4.5,36.0,-,-
1600,4.4,32.0,4.6,37.0,3.9,30.0,4.3,33.0,4.6,37.0,-,-
1650,4.3,31.0,4.6,37.0,3.8,30.0,4.3,33.0,4.5,37.0,-,-
1700,4.2,31.0,4.6,37.0,3.8,29.0,4.4,32.0,4.5,37.0,-,-
1750,4.2,31.0,4.6,37.0,3.8,29.0,4.4,29.0,4.5,36.0,-,-
1800,4.4,32.0,4.7,36.0,3.8,29.0,4.2,29.0,4.5,35.0,-,-
1850,4.2,33.0,4.7,36.0,3.8,29.0,3.9,27.0,4.3,33.0,-,-
1900,4.2,33.0,4.5,36.0,3.7,28.0,4.2,27.0,4.2,32.0,-,-
1950,4.3,33.0,4.4,32.0,3.7,28.0,3.9,26.0,4.1,31.0,-,-
2000,4.2,33.0,4.1,30.0,3.7,28.0,3.8,25.0,4.1,31.0,-,-
