Country,SUI,Unnamed: 0,EST,Unnamed: 1,AUT,Unnamed: 2,BEL,Unnamed: 3,CHI,Unnamed: 4,Unnamed: 5,Unnamed: 6
Rank,1,,5,,2,,3,,4,,,
Dist.,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke
[m],[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm)
50,5.4,44.0,5.0,40.0,5.5,55.0,5.3,47.0,5.2,44.0,-,-
100,5.3,41.0,5.0,36.0,5.3,47.0,5.1,42.0,4.9,40.0,-,-
150,5.4,41.0,5.0,35.0,5.1,43.0,5.0,40.0,4.9,37.0,-,-
200,5.2,39.0,4.9,35.0,4.9,41.0,4.9,39.0,4.7,36.0,-,-
250,5.1,39.0,4.8,34.0,4.8,39.0,4.8,38.0,4.7,37.0,-,-
300,5.1,38.0,4.6,33.0,4.8,39.0,4.8,37.0,4.6,36.0,-,-
350,5.0,37.0,4.6,32.0,4.8,39.0,4.7,37.0,4.6,37.0,-,-
400,4.9,37.0,4.7,32.0,4.8,38.0,4.8,36.0,4.6,36.0,-,-
450,4.9,37.0,4.6,31.0,4.8,38.0,4.7,36.0,4.6,35.0,-,-
500,4.9,37.0,4.6,31.0,4.8,38.0,4.8,36.0,4.6,35.0,-,-
550,4.9,36.0,4.5,31.0,4.7,38.0,4.6,35.0,4.4,35.0,-,-
600,4.8,35.0,4.4,30.0,4.7,38.0,4.6,35.0,4.5,35.0,-,-
650,4.7,35.0,4.4,29.0,4.6,37.0,4.6,35.0,4.5,35.0,-,-
700,4.8,35.0,4.5,29.0,4.7,37.0,4.6,35.0,4.4,35.0,-,-
750,4.8,35.0,4.3,29.0,4.7,37.0,4.6,34.0,4.5,34.0,-,-
800,4.8,36.0,4.4,29.0,4.8,37.0,4.7,34.0,4.4,33.0,-,-
850,4.8,36.0,4.2,29.0,4.8,38.0,4.7,34.0,4.4,33.0,-,-
900,4.8,36.0,4.4,29.0,4.7,37.0,4.7,34.0,4.5,33.0,-,-
950,4.7,35.0,4.3,28.0,4.7,37.0,4.6,33.0,4.5,33.0,-,-
1000,4.6,35.0,4.2,28.0,4.7,37.0,4.6,33.0,4.4,33.0,-,-
1050,4.8,36.0,4.3,27.0,4.7,37.0,4.6,35.0,4.5,33.0,-,-
1100,4.6,36.0,4.3,27.0,4.7,37.0,4.6,33.0,4.4,32.0,-,-
1150,4.8,36.0,4.2,26.0,4.7,37.0,4.5,32.0,4.4,33.0,-,-
1200,4.7,35.0,4.2,26.0,4.7,37.0,4.5,31.0,4.6,33.0,-,-
1250,4.6,34.0,4.3,26.0,4.8,38.0,4.4,30.0,4.6,33.0,-,-
1300,4.6,34.0,4.2,27.0,4.7,37.0,4.4,30.0,4.5,33.0,-,-
1350,4.6,34.0,4.0,27.0,4.6,37.0,4.5,31.0,4.5,33.0,-,-
1400,4.5,34.0,4.1,27.0,4.6,37.0,4.4,30.0,4.4,32.0,-,-
1450,4.6,34.0,4.0,26.0,4.6,36.0,4.3,30.0,4.4,32.0,-,-
1500,4.5,34.0,4.1,25.0,4.5,36.0,4.4,32.0,4.4,31.0,-,-
1550,4.4,34.0,4.0,26.0,4.4,36.0,4.2,31.0,4.2,32.0,-,-
1600,4.6,34.0,3.9,25.0,4.5,36.0,4.4,31.0,4.5,33.0,-,-
1650,4.5,34.0,4.2,26.0,4.5,35.0,4.3,31.0,4.4,33.0,-,-
1700,4.5,33.0,4.1,25.0,4.5,35.0,4.4,31.0,4.4,32.0,-,-
1750,4.4,32.0,3.8,25.0,4.4,35.0,4.3,30.0,4.4,32.0,-,-
1800,4.4,31.0,3.8,25.0,4.4,34.0,4.2,30.0,4.3,33.0,-,-
1850,4.4,31.0,3.9,25.0,4.4,33.0,4.3,29.0,4.2,32.0,-,-
1900,4.3,31.0,4.1,24.0,4.3,33.0,4.1,27.0,4.3,31.0,-,-
1950,4.2,29.0,4.1,24.0,4.3,31.0,4.1,26.0,4.3,31.0,-,-
2000,4.3,29.0,4.1,25.0,3.7,28.0,4.1,25.0,3.8,31.0,-,-
