Country,GER,Unnamed: 0,MDA,Unnamed: 1,GRE,Unnamed: 2,BRA,Unnamed: 3,POR,Unnamed: 4,Unnamed: 5,Unnamed: 6
Rank,1,,5,,3,,2,,4,,,
Dist.,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke
[m],[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm)
50,5.4,45.0,5.0,42.0,5.3,50.0,5.5,45.0,5.2,44.0,-,-
100,5.3,43.0,4.9,40.0,5.2,45.0,5.3,39.0,5.0,39.0,-,-
150,5.1,41.0,4.8,39.0,5.1,43.0,5.1,36.0,4.9,38.0,-,-
200,5.1,40.0,4.8,39.0,5.0,42.0,5.1,34.0,4.8,37.0,-,-
250,5.1,40.0,4.8,38.0,5.0,42.0,5.1,35.0,4.8,37.0,-,-
300,5.0,39.0,4.7,37.0,5.0,41.0,5.0,34.0,4.8,37.0,-,-
350,5.0,39.0,4.6,37.0,4.9,40.0,5.0,32.0,4.8,37.0,-,-
400,5.0,39.0,4.6,37.0,4.8,40.0,5.1,33.0,4.6,35.0,-,-
450,4.9,38.0,4.6,37.0,4.8,39.0,5.0,32.0,4.6,36.0,-,-
500,4.9,38.0,4.4,37.0,4.9,39.0,4.9,32.0,4.7,36.0,-,-
550,4.9,38.0,4.6,36.0,4.9,39.0,4.9,31.0,4.6,36.0,-,-
600,4.9,37.0,4.6,37.0,4.8,39.0,4.8,31.0,4.8,36.0,-,-
650,4.9,37.0,4.5,37.0,4.8,38.0,4.8,31.0,4.8,36.0,-,-
700,4.9,37.0,4.6,36.0,4.7,38.0,4.7,30.0,4.7,36.0,-,-
750,4.8,37.0,4.6,36.0,4.7,38.0,4.7,30.0,4.6,36.0,-,-
800,4.8,36.0,4.4,36.0,4.5,36.0,4.6,29.0,4.6,36.0,-,-
850,4.7,36.0,4.3,35.0,4.5,35.0,4.6,29.0,4.5,36.0,-,-
900,4.7,36.0,4.4,35.0,4.4,35.0,4.6,29.0,4.6,35.0,-,-
950,4.8,37.0,4.5,35.0,4.4,34.0,4.6,29.0,4.6,36.0,-,-
1000,4.8,37.0,4.5,36.0,4.6,36.0,4.8,32.0,4.5,35.0,-,-
1050,4.7,36.0,4.4,35.0,4.3,35.0,4.6,29.0,4.7,36.0,-,-
1100,4.8,36.0,4.3,35.0,4.3,35.0,4.3,29.0,4.4,35.0,-,-
1150,4.6,35.0,4.3,35.0,4.4,34.0,4.4,29.0,4.3,34.0,-,-
1200,4.4,35.0,4.3,34.0,4.2,33.0,4.4,30.0,4.1,33.0,-,-
1250,4.4,35.0,4.1,33.0,4.1,33.0,4.5,29.0,4.0,32.0,-,-
1300,4.5,36.0,4.1,33.0,4.3,33.0,4.4,29.0,3.9,31.0,-,-
1350,4.5,35.0,4.3,33.0,4.3,33.0,4.4,29.0,4.0,30.0,-,-
1400,4.6,35.0,4.4,34.0,4.3,33.0,4.5,28.0,4.2,31.0,-,-
1450,4.6,35.0,4.4,35.0,4.5,33.0,4.5,29.0,4.1,30.0,-,-
1500,4.6,35.0,4.4,34.0,4.5,34.0,4.4,29.0,4.1,30.0,-,-
1550,4.5,35.0,4.2,34.0,4.3,33.0,4.4,29.0,4.3,30.0,-,-
1600,4.6,36.0,4.3,34.0,4.5,33.0,4.2,27.0,4.1,30.0,-,-
1650,4.6,35.0,4.2,33.0,4.3,33.0,4.4,29.0,4.3,31.0,-,-
1700,4.4,35.0,4.2,33.0,4.3,32.0,4.3,28.0,4.3,31.0,-,-
1750,4.4,34.0,4.3,33.0,4.3,33.0,4.1,28.0,4.2,31.0,-,-
1800,4.4,33.0,4.3,34.0,4.3,32.0,4.0,26.0,4.2,31.0,-,-
1850,4.4,33.0,4.2,35.0,4.4,33.0,3.9,26.0,4.3,31.0,-,-
1900,4.3,32.0,4.4,36.0,4.5,33.0,4.1,27.0,4.6,32.0,-,-
1950,4.3,32.0,4.4,36.0,4.7,33.0,4.1,28.0,4.5,32.0,-,-
2000,4.3,31.0,4.5,37.0,4.7,34.0,4.2,28.0,4.3,32.0,-,-
