Country,NZL,Unnamed: 0,ALG,Unnamed: 1,ITA,Unnamed: 2,MAR,Unnamed: 3,CAN,Unnamed: 4,Unnamed: 5,Unnamed: 6
Rank,1,,4,,2,,5,,3,,,
Dist.,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke
[m],[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm)
50,5.3,49.0,5.4,50.0,5.6,53.0,5.1,45.0,5.6,57.0,-,-
100,5.0,42.0,5.3,45.0,5.4,47.0,4.9,38.0,5.4,49.0,-,-
150,4.9,39.0,5.1,42.0,5.3,44.0,4.7,34.0,5.0,39.0,-,-
200,4.9,39.0,4.9,41.0,5.1,41.0,4.7,34.0,4.9,36.0,-,-
250,4.8,38.0,4.8,40.0,5.1,39.0,4.6,33.0,4.9,35.0,-,-
300,4.9,38.0,4.8,39.0,5.0,39.0,4.5,32.0,4.8,34.0,-,-
350,4.8,37.0,4.6,38.0,4.9,37.0,4.4,32.0,4.8,34.0,-,-
400,4.8,38.0,4.7,39.0,4.8,36.0,4.3,29.0,4.8,35.0,-,-
450,4.8,38.0,4.6,38.0,4.8,36.0,4.1,28.0,4.8,35.0,-,-
500,4.8,38.0,4.4,38.0,4.8,36.0,4.2,29.0,4.7,35.0,-,-
550,4.8,37.0,4.6,38.0,4.8,35.0,4.2,29.0,4.8,34.0,-,-
600,4.8,37.0,4.6,37.0,4.8,35.0,3.9,28.0,4.8,35.0,-,-
650,4.8,37.0,4.5,37.0,4.8,35.0,3.8,28.0,4.8,35.0,-,-
700,4.7,37.0,4.5,36.0,4.7,35.0,3.9,27.0,4.7,35.0,-,-
750,4.7,37.0,4.5,36.0,4.6,35.0,3.8,28.0,4.7,35.0,-,-
800,4.7,37.0,4.4,36.0,4.8,35.0,3.9,27.0,4.7,35.0,-,-
850,4.7,37.0,4.3,35.0,4.8,34.0,3.7,26.0,4.7,34.0,-,-
900,4.8,37.0,4.5,36.0,4.8,35.0,3.8,26.0,4.7,34.0,-,-
950,4.9,37.0,4.6,35.0,4.8,35.0,3.6,27.0,4.7,35.0,-,-
1000,4.9,37.0,4.5,36.0,4.8,35.0,3.9,27.0,4.8,35.0,-,-
1050,4.8,37.0,4.5,36.0,4.9,36.0,3.8,27.0,4.6,36.0,-,-
1100,4.8,37.0,4.4,35.0,4.7,36.0,3.8,26.0,4.7,37.0,-,-
1150,4.8,37.0,4.4,34.0,4.8,35.0,3.7,27.0,4.7,37.0,-,-
1200,4.6,37.0,4.2,35.0,4.6,35.0,3.6,27.0,4.5,36.0,-,-
1250,4.6,37.0,4.3,36.0,4.6,34.0,3.7,27.0,4.5,35.0,-,-
1300,4.5,37.0,4.2,35.0,4.3,33.0,3.5,27.0,3.9,30.0,-,-
1350,4.6,36.0,4.0,34.0,4.3,32.0,3.6,26.0,3.9,29.0,-,-
1400,4.4,36.0,4.1,36.0,4.2,30.0,3.5,26.0,4.0,29.0,-,-
1450,4.5,36.0,4.2,35.0,4.2,30.0,3.6,26.0,3.9,28.0,-,-
1500,4.4,36.0,4.2,35.0,4.0,28.0,3.6,26.0,3.9,28.0,-,-
1550,4.4,36.0,4.2,35.0,4.1,27.0,3.4,27.0,3.8,27.0,-,-
1600,4.4,34.0,4.1,35.0,4.1,27.0,3.6,27.0,3.8,27.0,-,-
1650,4.3,34.0,4.2,36.0,4.1,27.0,3.7,27.0,3.9,27.0,-,-
1700,4.4,34.0,4.2,35.0,4.1,26.0,3.7,27.0,4.2,27.0,-,-
1750,4.4,34.0,4.2,34.0,4.2,26.0,3.7,27.0,4.2,27.0,-,-
1800,4.3,33.0,4.3,35.0,4.2,26.0,3.8,28.0,4.1,27.0,-,-
1850,4.2,30.0,4.4,38.0,4.1,26.0,3.9,30.0,4.3,28.0,-,-
1900,4.2,28.0,4.3,37.0,4.2,26.0,4.2,30.0,4.3,27.0,-,-
1950,4.0,27.0,4.5,36.0,4.3,26.0,4.2,31.0,4.3,27.0,-,-
2000,4.1,26.0,4.3,36.0,4.4,26.0,4.3,33.0,4.2,26.0,-,-
