Country,MDA,Unnamed: 0,POR,Unnamed: 1,BEL,Unnamed: 2,ARG,Unnamed: 3,ALG,Unnamed: 4,ESP,Unnamed: 5
Rank,6,,5,,2,,1,,3,,4,
Dist.,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke
[m],[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm)
50,5.1,44.0,5.3,45.0,5.2,46.0,5.4,44.0,5.1,45.0,5.6,50.0
100,4.9,40.0,5.2,42.0,5.0,42.0,5.2,39.0,4.9,43.0,5.3,45.0
150,4.8,39.0,4.9,40.0,4.9,41.0,4.9,37.0,4.8,41.0,5.1,42.0
200,4.6,38.0,4.8,38.0,4.8,38.0,4.8,37.0,4.6,40.0,4.8,41.0
250,4.4,36.0,4.6,38.0,4.7,36.0,4.8,34.0,4.7,39.0,4.7,40.0
300,4.5,36.0,4.7,37.0,4.6,36.0,4.8,35.0,4.7,39.0,4.7,39.0
350,4.5,36.0,4.6,37.0,4.5,35.0,4.6,35.0,4.5,38.0,4.5,38.0
400,4.4,35.0,4.4,36.0,4.5,34.0,4.6,35.0,4.6,38.0,4.5,38.0
450,4.5,35.0,4.5,36.0,4.5,34.0,4.7,35.0,4.5,38.0,4.4,37.0
500,4.4,35.0,4.5,36.0,4.4,33.0,4.6,35.0,4.6,37.0,4.5,37.0
550,4.3,35.0,4.4,36.0,4.5,33.0,4.5,34.0,4.5,37.0,4.4,37.0
600,4.2,34.0,4.3,35.0,4.4,32.0,4.6,34.0,4.3,36.0,4.4,37.0
650,4.3,34.0,4.3,35.0,4.4,32.0,4.5,35.0,4.3,35.0,4.3,37.0
700,4.3,34.0,4.3,35.0,4.4,33.0,4.5,34.0,4.3,35.0,4.3,37.0
750,4.3,34.0,4.4,35.0,4.4,33.0,4.5,34.0,4.3,35.0,4.3,37.0
800,4.4,35.0,4.6,35.0,4.6,33.0,4.6,33.0,4.5,35.0,4.4,37.0
850,4.4,36.0,4.5,35.0,4.6,33.0,4.6,34.0,4.5,35.0,4.4,37.0
900,4.3,34.0,4.4,35.0,4.5,33.0,4.5,33.0,4.5,36.0,4.5,37.0
950,4.2,34.0,4.4,35.0,4.5,33.0,4.4,33.0,4.4,35.0,4.6,37.0
1000,4.3,34.0,4.3,35.0,4.4,33.0,4.4,33.0,4.3,35.0,4.3,37.0
1050,4.2,34.0,4.3,35.0,4.3,33.0,4.3,32.0,4.2,35.0,4.2,37.0
1100,4.2,34.0,4.3,35.0,4.3,33.0,4.6,33.0,4.1,35.0,4.3,36.0
1150,4.1,33.0,4.3,34.0,4.3,33.0,4.2,33.0,4.2,36.0,4.4,36.0
1200,4.0,33.0,4.1,34.0,4.2,33.0,4.1,33.0,4.1,35.0,4.2,37.0
1250,4.0,33.0,4.2,34.0,4.3,34.0,4.2,33.0,4.2,35.0,4.3,37.0
1300,4.2,33.0,4.4,35.0,4.4,33.0,4.4,32.0,4.4,36.0,4.4,37.0
1350,4.2,32.0,4.4,35.0,4.5,34.0,4.5,34.0,4.3,35.0,4.3,37.0
1400,4.3,33.0,4.4,35.0,4.6,35.0,4.4,34.0,4.4,37.0,4.4,37.0
1450,4.3,34.0,4.5,36.0,4.5,35.0,4.5,34.0,4.5,37.0,4.5,37.0
1500,4.3,34.0,4.6,37.0,4.6,36.0,4.6,34.0,4.6,37.0,4.4,37.0
1550,4.3,34.0,4.6,37.0,4.5,36.0,4.6,35.0,4.6,39.0,4.4,37.0
1600,4.3,34.0,4.8,37.0,4.7,37.0,4.5,34.0,4.7,39.0,4.3,36.0
1650,4.3,33.0,4.8,38.0,4.7,38.0,4.6,34.0,4.7,39.0,4.4,36.0
1700,4.3,34.0,4.8,39.0,4.8,39.0,4.7,36.0,4.6,38.0,4.3,37.0
1750,4.4,35.0,4.5,36.0,4.7,38.0,4.8,34.0,4.7,38.0,4.4,37.0
1800,4.4,35.0,4.1,32.0,4.7,38.0,4.8,34.0,4.8,39.0,4.3,36.0
1850,4.5,35.0,4.0,32.0,4.5,35.0,4.7,35.0,4.8,40.0,4.3,36.0
1900,4.5,35.0,3.7,30.0,4.4,32.0,4.7,35.0,4.9,41.0,4.3,35.0
1950,4.5,35.0,3.6,29.0,4.5,33.0,4.6,34.0,4.8,41.0,4.2,36.0
2000,4.4,35.0,3.7,28.0,4.4,31.0,4.6,34.0,4.7,40.0,4.0,34.0
