Country,MAR,Unnamed: 0,CHI,Unnamed: 1,CAN,Unnamed: 2,GRE,Unnamed: 3,JPN,Unnamed: 4,EST,Unnamed: 5
Rank,6,,3,,2,,1,,4,,5,
Dist.,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke
[m],[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm)
50,4.8,99.0,5.3,48.0,5.5,56.0,5.3,49.0,5.1,48.0,5.0,39.0
100,4.6,39.0,5.1,44.0,4.9,43.0,5.1,43.0,4.9,42.0,4.9,34.0
150,4.4,35.0,5.0,42.0,4.8,40.0,4.8,40.0,4.8,40.0,4.7,33.0
200,4.2,34.0,4.7,41.0,4.6,37.0,4.7,38.0,4.6,38.0,4.6,32.0
250,4.3,33.0,4.6,39.0,4.6,36.0,4.7,38.0,4.6,38.0,4.6,32.0
300,4.2,32.0,4.6,38.0,4.6,35.0,4.6,37.0,4.5,37.0,4.4,32.0
350,4.1,32.0,4.4,36.0,4.5,35.0,4.5,37.0,4.4,36.0,4.5,31.0
400,4.1,31.0,4.4,34.0,4.5,34.0,4.5,36.0,4.5,36.0,4.4,31.0
450,3.8,31.0,4.5,34.0,4.5,35.0,4.6,36.0,4.5,36.0,4.3,31.0
500,3.9,30.0,4.5,34.0,4.5,34.0,4.5,35.0,4.4,36.0,4.4,31.0
550,3.9,30.0,4.5,34.0,4.5,34.0,4.5,35.0,4.5,36.0,4.4,30.0
600,3.9,31.0,4.5,34.0,4.5,35.0,4.5,35.0,4.4,35.0,4.3,31.0
650,4.0,29.0,4.4,34.0,4.5,34.0,4.4,34.0,4.4,35.0,4.3,31.0
700,4.1,30.0,4.5,34.0,4.6,34.0,4.5,35.0,4.5,36.0,4.4,31.0
750,4.2,30.0,4.5,34.0,4.8,36.0,4.6,34.0,4.6,36.0,4.5,31.0
800,4.1,30.0,4.5,33.0,4.7,35.0,4.6,34.0,4.6,36.0,4.4,31.0
850,4.0,30.0,4.4,33.0,4.6,34.0,4.6,34.0,4.5,36.0,4.4,30.0
900,4.0,28.0,4.4,33.0,4.6,33.0,4.5,34.0,4.5,35.0,4.4,30.0
950,3.8,28.0,4.3,33.0,4.6,33.0,4.5,33.0,4.5,35.0,4.3,30.0
1000,3.7,28.0,4.4,32.0,4.2,33.0,4.4,33.0,4.3,35.0,4.1,31.0
1050,3.7,27.0,4.1,31.0,4.6,34.0,4.4,33.0,4.3,35.0,4.3,30.0
1100,3.6,27.0,4.1,31.0,4.4,34.0,4.3,33.0,4.1,34.0,4.0,30.0
1150,3.5,26.0,4.2,32.0,4.3,33.0,4.2,32.0,4.2,34.0,4.2,30.0
1200,3.7,27.0,4.2,32.0,4.5,33.0,4.3,32.0,4.3,35.0,4.2,29.0
1250,3.6,27.0,4.2,32.0,4.5,35.0,4.3,31.0,4.3,35.0,4.3,30.0
1300,3.9,28.0,4.4,33.0,4.5,34.0,4.4,32.0,4.4,35.0,4.3,30.0
1350,3.8,29.0,4.3,35.0,4.5,34.0,4.4,32.0,4.3,35.0,4.3,30.0
1400,3.9,29.0,4.3,34.0,4.5,33.0,4.5,32.0,4.4,35.0,4.3,29.0
1450,3.8,28.0,4.4,33.0,4.5,33.0,4.5,32.0,4.4,35.0,4.3,28.0
1500,3.7,28.0,4.4,35.0,4.5,33.0,4.5,32.0,4.4,35.0,4.1,29.0
1550,3.9,30.0,4.5,36.0,4.4,34.0,4.5,32.0,4.4,35.0,4.1,29.0
1600,3.9,31.0,4.4,36.0,4.3,32.0,4.5,32.0,4.3,36.0,4.2,29.0
1650,3.9,31.0,4.5,35.0,4.3,32.0,4.6,32.0,4.2,34.0,4.1,29.0
1700,3.9,31.0,4.5,36.0,4.4,32.0,4.6,32.0,4.3,35.0,4.2,28.0
1750,3.9,32.0,4.6,37.0,4.4,33.0,4.6,33.0,4.4,34.0,4.3,29.0
1800,4.1,32.0,4.6,36.0,4.4,33.0,4.7,33.0,4.4,36.0,4.3,27.0
1850,4.1,33.0,4.5,36.0,4.4,33.0,4.8,34.0,4.5,37.0,4.1,27.0
1900,4.2,34.0,4.4,36.0,4.4,32.0,4.8,34.0,4.5,37.0,4.2,27.0
1950,4.4,34.0,4.5,36.0,4.4,32.0,4.8,34.0,4.5,37.0,4.2,26.0
2000,4.4,34.0,4.5,36.0,4.4,32.0,4.8,33.0,4.4,36.0,4.2,25.0
