Country,EST,Unnamed: 0,ALG,Unnamed: 1,JPN,Unnamed: 2,MDA,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Rank,1,,2,,3,,4,,,,,
Dist.,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke
[m],[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm)
50,5.0,39.0,5.0,46.0,4.8,44.0,4.7,41.0,-,-,-,-
100,4.8,36.0,4.9,42.0,4.8,41.0,4.6,39.0,-,-,-,-
150,4.8,35.0,4.8,40.0,4.7,39.0,4.5,38.0,-,-,-,-
200,4.9,35.0,4.7,39.0,4.6,38.0,4.4,38.0,-,-,-,-
250,4.8,34.0,4.6,38.0,4.5,37.0,4.4,37.0,-,-,-,-
300,4.8,34.0,4.6,38.0,4.6,37.0,4.6,36.0,-,-,-,-
350,4.8,33.0,4.6,37.0,4.6,36.0,4.5,37.0,-,-,-,-
400,4.7,33.0,4.6,37.0,4.6,36.0,4.5,37.0,-,-,-,-
450,4.4,32.0,4.5,36.0,4.6,36.0,4.5,37.0,-,-,-,-
500,4.7,32.0,4.5,36.0,4.4,35.0,4.4,36.0,-,-,-,-
550,4.4,32.0,4.4,36.0,4.4,35.0,4.4,36.0,-,-,-,-
600,4.3,32.0,4.3,35.0,4.3,34.0,4.2,34.0,-,-,-,-
650,4.4,30.0,4.4,35.0,4.4,34.0,4.2,35.0,-,-,-,-
700,4.3,31.0,4.2,34.0,4.3,34.0,4.2,34.0,-,-,-,-
750,4.3,31.0,4.2,35.0,4.3,34.0,4.3,35.0,-,-,-,-
800,4.3,31.0,4.3,35.0,4.2,33.0,4.2,35.0,-,-,-,-
850,4.3,31.0,4.3,34.0,4.3,34.0,4.2,34.0,-,-,-,-
900,4.3,31.0,4.3,34.0,4.4,34.0,4.3,34.0,-,-,-,-
950,4.3,30.0,4.2,34.0,4.4,33.0,4.2,34.0,-,-,-,-
1000,4.4,31.0,4.3,35.0,4.4,34.0,4.3,34.0,-,-,-,-
1050,4.3,31.0,4.3,34.0,4.2,33.0,4.1,34.0,-,-,-,-
1100,4.5,31.0,4.4,34.0,4.5,35.0,4.3,34.0,-,-,-,-
1150,4.4,31.0,4.2,34.0,4.3,34.0,4.3,34.0,-,-,-,-
1200,4.4,31.0,4.4,34.0,4.4,34.0,4.4,34.0,-,-,-,-
1250,4.4,31.0,4.3,35.0,4.4,34.0,4.3,34.0,-,-,-,-
1300,4.4,31.0,4.4,36.0,4.3,34.0,4.3,34.0,-,-,-,-
1350,4.3,30.0,4.4,36.0,4.3,34.0,4.2,33.0,-,-,-,-
1400,4.2,30.0,4.3,35.0,4.3,34.0,4.3,33.0,-,-,-,-
1450,4.3,31.0,4.3,36.0,4.3,33.0,4.2,33.0,-,-,-,-
1500,4.4,32.0,4.4,35.0,4.2,33.0,4.2,34.0,-,-,-,-
1550,4.3,31.0,4.6,36.0,4.3,33.0,4.4,35.0,-,-,-,-
1600,4.5,31.0,4.6,36.0,4.3,33.0,4.5,35.0,-,-,-,-
1650,4.4,31.0,4.5,36.0,4.3,33.0,4.3,35.0,-,-,-,-
1700,4.3,30.0,4.4,36.0,4.3,33.0,4.3,35.0,-,-,-,-
1750,4.5,32.0,4.5,37.0,4.2,33.0,4.3,34.0,-,-,-,-
1800,4.4,32.0,4.5,38.0,4.3,33.0,4.1,34.0,-,-,-,-
1850,4.5,32.0,4.5,38.0,4.2,33.0,4.3,34.0,-,-,-,-
1900,4.5,33.0,4.6,41.0,4.2,34.0,4.3,34.0,-,-,-,-
1950,4.6,34.0,4.8,41.0,4.4,35.0,4.4,35.0,-,-,-,-
2000,4.3,31.0,4.5,38.0,4.2,33.0,4.5,36.0,-,-,-,-
