Country,MAR,Unnamed: 0,ESP,Unnamed: 1,CHI,Unnamed: 2,POR,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Rank,4,,3,,1,,2,,,,,
Dist.,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke
[m],[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm)
50,4.6,43.0,5.3,46.0,4.9,46.0,4.9,42.0,-,-,-,-
100,4.7,35.0,5.0,41.0,4.9,42.0,4.9,40.0,-,-,-,-
150,4.2,32.0,4.8,37.0,4.9,40.0,4.8,39.0,-,-,-,-
200,4.3,30.0,4.6,35.0,4.7,38.0,4.5,37.0,-,-,-,-
250,3.8,28.0,4.4,35.0,4.4,37.0,4.4,36.0,-,-,-,-
300,3.9,29.0,4.4,33.0,4.5,35.0,4.4,35.0,-,-,-,-
350,4.2,29.0,4.5,33.0,4.5,35.0,4.6,35.0,-,-,-,-
400,4.1,29.0,4.5,34.0,4.5,33.0,4.5,35.0,-,-,-,-
450,3.8,26.0,4.4,33.0,4.4,33.0,4.4,35.0,-,-,-,-
500,3.9,28.0,4.4,33.0,4.3,33.0,4.3,34.0,-,-,-,-
550,3.8,28.0,4.3,32.0,4.4,33.0,4.3,34.0,-,-,-,-
600,3.8,26.0,4.3,32.0,4.4,33.0,4.3,34.0,-,-,-,-
650,3.8,27.0,4.4,31.0,4.4,32.0,4.3,34.0,-,-,-,-
700,3.7,26.0,4.6,35.0,4.4,32.0,4.4,34.0,-,-,-,-
750,3.9,27.0,4.6,36.0,4.4,32.0,4.4,34.0,-,-,-,-
800,3.8,26.0,4.6,36.0,4.3,33.0,4.4,34.0,-,-,-,-
850,3.9,26.0,4.5,35.0,4.5,33.0,4.4,34.0,-,-,-,-
900,3.7,26.0,4.3,33.0,4.4,33.0,4.4,35.0,-,-,-,-
950,3.6,25.0,4.3,32.0,4.4,33.0,4.2,35.0,-,-,-,-
1000,3.7,25.0,4.2,32.0,4.4,33.0,4.3,34.0,-,-,-,-
1050,3.9,26.0,4.4,32.0,4.5,33.0,4.4,35.0,-,-,-,-
1100,3.8,25.0,4.4,32.0,4.3,33.0,4.3,35.0,-,-,-,-
1150,3.6,25.0,4.3,33.0,4.3,33.0,4.4,35.0,-,-,-,-
1200,3.7,26.0,4.3,32.0,4.4,32.0,4.3,34.0,-,-,-,-
1250,3.7,26.0,4.4,32.0,4.4,32.0,4.4,35.0,-,-,-,-
1300,3.8,30.0,4.3,31.0,4.3,32.0,4.4,35.0,-,-,-,-
1350,3.9,30.0,4.5,34.0,4.4,32.0,4.5,34.0,-,-,-,-
1400,3.9,31.0,4.4,35.0,4.4,33.0,4.4,34.0,-,-,-,-
1450,4.1,30.0,4.4,34.0,4.5,33.0,4.5,35.0,-,-,-,-
1500,4.0,32.0,4.3,32.0,4.5,34.0,4.5,35.0,-,-,-,-
1550,4.0,31.0,4.2,31.0,4.5,34.0,4.5,35.0,-,-,-,-
1600,4.0,31.0,4.2,30.0,4.4,34.0,4.6,35.0,-,-,-,-
1650,3.7,32.0,4.1,30.0,4.5,34.0,4.6,36.0,-,-,-,-
1700,4.0,31.0,4.0,28.0,4.4,34.0,4.6,35.0,-,-,-,-
1750,3.9,31.0,3.9,28.0,4.4,35.0,4.6,36.0,-,-,-,-
1800,4.0,31.0,3.9,27.0,4.6,37.0,4.8,38.0,-,-,-,-
1850,4.0,31.0,3.8,27.0,4.5,37.0,4.8,38.0,-,-,-,-
1900,4.1,32.0,3.8,25.0,4.6,37.0,4.7,38.0,-,-,-,-
1950,3.9,32.0,3.6,24.0,4.7,38.0,4.8,39.0,-,-,-,-
2000,4.3,34.0,3.7,25.0,4.8,39.0,4.7,39.0,-,-,-,-
